"Name","State","Notes","User","Tags","Created","Runtime","Sweep","core_metric_every","core_metric_max_per_task","depth","device_batch_size","device_type","embedding_lr","eval_every","eval_tokens","final_lr_frac","grad_clip","matrix_lr","max_seq_len","model_tag","num_iterations","resume_from_step","rope_alpha","rope_base","rope_beta_fast","rope_beta_slow","rope_max_seq_len","rope_scale","rope_type","run","sample_every","save_every","target_flops","target_param_data_ratio","total_batch_size","unembedding_lr","warmdown_ratio","warmup_ratio","weight_decay","centered_results.agi_eval_lsat_ar","centered_results.arc_challenge","centered_results.arc_easy","centered_results.bigbench_cs_algorithms","centered_results.bigbench_dyck_languages","centered_results.bigbench_language_identification","centered_results.bigbench_operators","centered_results.bigbench_qa_wikidata","centered_results.bigbench_repeat_copy_logic","centered_results.boolq","centered_results.commonsense_qa","centered_results.copa","centered_results.coqa","centered_results.hellaswag","centered_results.hellaswag_zeroshot","centered_results.jeopardy","centered_results.lambada_openai","centered_results.openbook_qa","centered_results.piqa","centered_results.squad","centered_results.winograd","centered_results.winogrande","core_metric","step","total_training_flops","total_training_time","train/dt","train/grad_norm","train/loss","train/lrm","train/mfu","train/tok_per_sec","val/bpb"
"yarn-cont","finished","-","","","2025-12-14T20:03:27.000Z","12085","","2000","500","20","1","","0.2","250","10485760","0","1","0.02","8192","d20-yarn","26400","21400","1","10000","32","1","32768","4","yarn","yarn-cont","2000","-1","-1","20","524288","0.004","0.2","0","0","0.1195651888847351","0.15466670195261636","0.5333333810170492","0.4220000207424164","0.12200000882148744","0.17491749174917492","0.18095238506793976","0.5440000295639038","0","-0.4368420368746707","0.0375000052154064","0.24000000953674316","0.2120000123977661","0.2693333625793457","0.2693333625793457","0.1340000033378601","0.3620000183582306","0.10400001207987468","0.3520001173019409","0.2720000147819519","0.2967033386230469","0.03600001335144043","0.1999756109576184","26400","74454529386479620000","53548.902734041214","2.3178577423095703","0.17015010118484497","2.686898679461622","0.01893939393939394","15.378505759847462","226195","0.7991980462299473"
"ntk-cont","finished","-","","","2025-12-14T19:54:02.000Z","15360","","2000","500","20","1","","0.2","250","10485760","0","1","0.02","8192","d20-ntk","26400","21400","1","10000","32","1","32768","4","ntk","ntk-cont","2000","-1","-1","20","524288","0.004","0.2","0","0","0.027173891663551317","0.14400001366933188","0.5600000222524008","0.42000001668930054","0.08400000631809235","0.20572060169559897","0.15238095819950104","0.5260000228881836","0","-0.44736837399633306","0.03500001877546309","0.24000000953674316","0.20200000703334808","0.2613333463668823","0.2560000419616699","0.1380000114440918","0.3540000021457672","0.10400001207987468","0.34800004959106445","0.26600000262260437","0.2893773317337036","0.024000048637390137","0.19043718369582868","26400","74454529386479620000","56716.021318912506","2.9564900398254395","0.187162846326828","2.693235988417232","0.01893939393939394","12.05659013237175","177334","0.8008353572711269"
"pi-cont","finished","-","","","2025-12-14T19:19:23.000Z","13243","","2000","500","20","1","","0.2","250","10485760","0","1","0.02","8192","d20-pi","26400","21400","1","10000","32","1","32768","4","pi","pi-cont","2000","-1","-1","20","524288","0.004","0.2","0","0","0.016304332762956605","0.16533335049947104","0.5253334045410156","0.4320000112056732","0.12200000882148744","0.2013201527338479","0.15714286267757416","0.5139999985694885","0","-0.4263156997530084","0.0375000052154064","0.24000000953674316","0.20600001513957977","0.24800002574920657","0.24800002574920657","0.12200000882148744","0.3680000305175781","0.09866666793823242","0.3640000820159912","0.2639999985694885","0.2527472972869873","0.012000083923339844","0.1894560305691706","26400","74454529386479620000","53609.3469889164","2.328904628753662","0.19423331320285797","2.6964435504002777","0.01893939393939394","15.305559618253094","225122","0.8019090541617296"
"rope-cont","finished","-","","","2025-12-14T19:10:42.000Z","12107","","2000","500","20","1","","0.2","250","10485760","0","1","0.02","8192","d20-rope","26400","21400","1","10000","32","1","32768","1","rope","rope-cont","2000","-1","-1","20","524288","0.004","0.2","0","0","0.10869564861059187","0.15200002988179526","0.5386667251586914","0.40800002217292786","0.12400000542402267","0.20572060169559897","0.190476194024086","0.5240000486373901","0","-0.28947355245289047","0.17500000447034833","0.24000000953674316","0.20600001513957977","0.2560000419616699","0.25866671403249103","0.14400000870227814","0.37400001287460327","0.11466670036315918","0.3640000820159912","0.24000000953674316","0.24542129039764404","-0.019999980926513672","0.20726548323895227","26400","74454529386479620000","53568.173630952835","2.3216729164123535","0.18778608739376068","2.697324090297896","0.01893939393939394","15.353234466677907","225823","0.8024240808855326"
